druckort,dbsm_count,location,lat,lon
Polen,,Polska,52.215933,19.134422
Portese,,"Portese, San Felice del Benaco, Brescia, Lombardia, 25087, Italia",45.5951737,10.552052
Pôrto,,"Porto, Norte, Portugal",41.1494512,-8.6107884
Portugal,,Portugal,40.0332629,-7.8896263
Prag,1.0,"Praha, Česko",50.0596288,14.446459273258009
Promenthoux,,"Ferme de Promenthoux, Prangins, Grand Genève, District de Nyon, Vaud, 1197, Schweiz/Suisse/Svizzera/Svizra",46.39407185,6.264779935784313
Provins,,"Provins, Seine-et-Marne, Île-de-France, France métropolitaine, 77160, France",48.5602959,3.2988089
Regensburg,,"Regensburg, Bayern, Deutschland",49.0195333,12.0974869
Reggio d’Emilia,,Reggio d’Emilia,44.69930584920791, 10.636894457709685
Reggio di Calabria,,"Reggio di Calabria, Calabria, Italia",38.1035389,15.6397556
Reichenstein,,"Kašperské Hory, okres Klatovy, Plzeňský kraj, Jihozápad, 341 92, Česko",49.1434723,13.5560577
Rennes,,"Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, France",48.1113387,-1.6800198
Reutlingen,14.0,"Reutlingen, Landkreis Reutlingen, Baden-Württemberg, Deutschland",48.4919508,9.2114144
Ribe,,"Ribe, Esbjerg Kommune, Region Syddanmark, Danmark",55.3284036,8.7647838
Rom,17.0,"Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321
Rostock,,"Rostock, Mecklenburg-Vorpommern, Deutschland",54.0924445,12.1286127
Rouen,,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France",49.4404591,1.0939658
Rougemont,,"Rougemont, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21500, France",47.66736,4.24459
’s Hertogenbosch,,"'s-Hertogenbosch, Noord-Brabant, Nederland",51.6889351,5.3031044
Saint-Albans,,"St Albans, Hertfordshire, East of England, England, United Kingdom",51.7492956,-0.3422526
Salamanca,,"Salamanca, Castilla y León, España",40.9651572,-5.6640182
Salins,,"Salins, Provins, Seine-et-Marne, Île-de-France, France métropolitaine, 77148, France",48.4224933,3.0203102
Saloniki,,"Θεσσαλονίκη, Δημοτική Ενότητα Θεσαλονίκης, Δήμος Θεσσαλονίκης, Περιφερειακή Ενότητα Θεσσαλονίκης, Περιφέρεια Κεντρικής Μακεδονίας, Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης, 54626, Ελλάς",40.6403167,22.9352716
Saluzzo,,"Saluzzo, Cuneo, Piemonte, Italia",44.6446052,7.4926009
San Cesario,,"San Cesario, San Vittore del Lazio, Frosinone, Lazio, 03044, Italia",41.4362561,13.9063523
San Germano,,"San Germano, Camerano, Ancona, Marche, 60021, Italia",43.5357116,13.5619149
Sankt Maartensdijk,,"Sint-Maartensdijk, Tholen, Zeeland, Nederland",51.5485101,4.0779213
Santorso,,"Santorso, Vicenza, Veneto, 36014, Italia",45.7372986,11.3903211
Savigliano,,"Savigliano, Cuneo, Piemonte, 12038, Italia",44.644037,7.655929
Savona,,"Savona, Liguria, Italia",44.2334238,8.252572737021062
Scandiano,1.0,"Scandiano, Tresinaro - Secchia, Reggio nell'Emilia, Emilia-Romagna, 42019, Italia",44.5993449,10.6878385
Schiedam,,"Schiedam, Zuid-Holland, Nederland",51.9300454,4.386451052615731
Schlesien,,"Schlesin, Grebs-Niendorf, Dömitz-Malliß, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19303, Deutschland",53.2045391,11.2401781
