"idn","year"
1072648539,1754
1072648555,1754
"107264858X",1754
1072648601,1754
1072648636,1754
1072648660,1754
1072648695,1754
1072709112,1754
1072709120,1754
1072709147,1754
1072709279,1754
1072709325,1754
"107270935X",1754
1072709473,1754
1072709503,1754
"107270952X",1754
1072709546,1754
1072709570,1754
1072709589,1754
1072709619,1754
1072709635,1754
"107270966X",1754
1072709694,1754
1072709791,1754
1072709813,1754
1072710056,1754
1072710099,1754
1072710129,1754
1072710161,1754
1072710196,1754
1072710234,1754
1072710366,1754
1072710382,1754
"107271048X",1754
1072710536,1754
1072710633,1754
1072710668,1754
1072710706,1754
1072715392,1754
1072715538,1754
1072715554,1754
1072715597,1754
1072715643,1754
1072715694,1754
1072715783,1754
1072715813,1754
1072715848,1754
1072715864,1754
1072715880,1754
1072715988,1754
1072716038,1754
1072716089,1754
1072716100,1754
1072716127,1754
1072716240,1754
1072716267,1754
1072716291,1754
"107271633X",1754
1072716356,1754
1072716380,1754
1072716402,1754
1072716445,1754
"107271647X",1754
1072716666,1754
1072716682,1754
1072716739,1754
1072716763,1754
"107271678X",1754
1072716801,1754
1072716836,1754
1072716852,1754
1072716879,1754
1072716909,1754
"107271695X",1754
1072716984,1754
"107271700X",1754
1072717026,1754
1072717050,1754
1072717492,1754
1072717808,1754
1072717905,1754
1072717956,1754
1072718243,1754
1072718286,1754
1072718340,1754
1072718413,1754
1072718464,1754
1072718502,1754
1072718553,1754
1072718898,1754
1072780267,1754
1072780372,1754
1072780410,1754
1072780429,1754
"107278047X",1754
1072780542,1754
1072780631,1754
1072780674,1754
1072780712,1754
1072781239,1754
1072781336,1754
1072781794,1754
1072781840,1754
1072793865,1754
1072793989,1754
1072794012,1754
1072794101,1754
1072794128,1754
1072794136,1754
1072794160,1754
1072794217,1754
1072794233,1754
1072794357,1754
1072794381,1754
1072794411,1754
"107279442X",1754
1072794470,1754
1072794985,1754
1072795027,1754
"107279506X",1754
1072795132,1754
1072795167,1754
1072795191,1754
"107279523X",1754
1072795620,1754
1072795698,1754
1072796031,1754
1072796104,1754
1072796155,1754
1072796287,1754
1072796368,1754
1072798808,1754
1072798867,1754
1072798905,1754
1072798980,1754
1072799057,1754
1072799103,1754
1072799391,1754
1072799995,1754
1072800063,1754
"107280011X",1754
1072800187,1754
"107280056X",1754
1072800616,1754
1072800667,1754
1072800713,1754
1072800772,1754
1072800845,1754
1072800888,1754
1072800926,1754
1072800977,1754
1072801221,1754
1072801272,1754
1072801590,1754
1072829797,1754
1072829851,1754
1072829894,1754
1072829940,1754
1072829975,1754
1072830051,1754
1072830108,1754
1072830159,1754
1072831228,1754
1072831430,1754
1072832623,1754
1072832666,1754
1072832747,1754
1072833018,1754
1072833050,1754
1072833131,1754
1072833972,1754
1072834340,1754
1072834758,1754
1072835258,1754
1072850192,1754
1072850257,1754
1072850303,1754
1072850338,1754
1072850397,1754
"107285046X",1754
1072850532,1754
1072850958,1754
1072851016,1754
1072851067,1754
1072851113,1754
1072851156,1754
1072851245,1754
1072851288,1754
1072851326,1754
1072851350,1754
1072851407,1754
"107285144X",1754
1072851520,1754
1072851652,1754
1072851725,1754
1072851733,1754
1072851830,1754
1072851873,1754
1072851911,1754
1072851938,1754
1072851989,1754
1072852012,1754
1072852047,1754
1072852055,1754
1072852101,1754
1072852128,1754
1072852144,1754
1072852195,1754
1072852217,1754
1072852233,1754
1072852241,1754
1072852268,1754
1072852306,1754
1072852322,1754
1072852349,1754
1072852365,1754
"107285239X",1754
1072852438,1754
1072852462,1754
1072852489,1754
1072852675,1754
1072852780,1754
1072852918,1754
1072853280,1754
1072853302,1754
1072853965,1754
1072854007,1754
1072854058,1754
1072854236,1754
1072854287,1754
1072854325,1754
"107285435X",1754
1072854392,1754
1072854473,1754
1072880954,1754
1072880962,1754
1072880970,1754
1072880989,1754
1072880997,1754
1072881004,1754
1072882116,1754
1072884941,1754
1072888564,1754
1072888602,1754
"107288867X",1754
1072888769,1754
1072888955,1754
1072889137,1754
1072889277,1754
1072889390,1754
1072889536,1754
1072889749,1754
"107289100X",1754
1072891093,1754
1072891190,1754
"107289131X",1754
1072891425,1754
1072891506,1754
1072891603,1754
1072891662,1754
1072891689,1754
