id;ort;count;location;lat;lon
244;Offenbach am Main;12;Offenbach am Main, Hessen, Deutschland;50.1055002;8.7610698
245;Wandsbek;12;Wandsbek, Hamburg, Deutschland;53.5760029;10.0755348
246;Anklam;12;Anklam, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17389, Deutschland;53.8560526;13.688091
247;Annaberg;12;Gemeinde Annaberg, Bezirk Lilienfeld, Niederösterreich, Österreich;47.8643157;15.349100740517551
248;Bayreuth;12;Bayreuth, Bayern, Deutschland;49.9427202;11.5763079
249;Sagan;12;Żagań, powiat żagański, województwo lubuskie, 68-100, Polska;51.6148068;15.3203721
250;Emden;12;Emden, Niedersachsen, Deutschland;53.3670541;7.2058304
251;Neubrandenburg;12;Neubrandenburg, Mecklenburgische Seenplatte, Mecklenburg-Vorpommern, Deutschland;53.5574458;13.2602781
252;Waldenburg;12;Waltembourg, Sarrebourg-Château-Salins, Moselle, Grand Est, France métropolitaine, 57370, France;48.7503918;7.1965445
253;Einbeck;12;Einbeck, Landkreis Northeim, Niedersachsen, 37574, Deutschland;51.8185067;9.8678465
254;Troppau;11;Opava, okres Opava, Moravskoslezský kraj, Moravskoslezsko, Česko;49.9389004;17.9024174
255;Reudnitz;11;Reudnitz, Reudnitz-Thonberg, Südost, Leipzig, Sachsen, 04317, Deutschland;51.335919;12.3995116
256;Florenz;11;Firenze, Toscana, Italia;43.7698712;11.2555757
257;Hagen;11;Hagen, Nordrhein-Westfalen, Deutschland;51.3582945;7.473296
258;Tarnowskie Góry;11;Tarnowskie Góry, powiat tarnogórski, Górnośląsko-Zagłębiowska Metropolia, województwo śląskie, Polska;50.4445194;18.8554757
259;Venedig;11;Venezia, Veneto, Italia;45.4371908;12.3345898
260;Stolp;11;Słupsk, województwo pomorskie, 76-200, Polska;54.4649331;17.028073
261;Dresden-Neustadt;11;Dresden-Neustadt, 1, Schlesischer Platz, Innere Neustadt, Neustadt, Dresden, Sachsen, 01097, Deutschland;51.0658669;13.7405404
262;Kolberg;11;Kołobrzeg, gmina Kołobrzeg, powiat kołobrzeski, województwo zachodniopomorskie, Polska;54.176211550000005;15.57640369780165
